State,LGA region,Postcode
New South Wales,Albury,2640
New South Wales,Albury,2641
New South Wales,Albury,2642
New South Wales,Albury,2644
New South Wales,Albury,3690
New South Wales,Albury,3691
New South Wales,Armidale Dumaresq,2350
New South Wales,Armidale Dumaresq,2351
New South Wales,Armidale Dumaresq,2354
New South Wales,Armidale Dumaresq,2358
New South Wales,Armidale Dumaresq,2365
New South Wales,Armidale Dumaresq,2440
New South Wales,Armidale Dumaresq,2453
New South Wales,Armidale Dumaresq,2454
New South Wales,Ashfield,2040
New South Wales,Ashfield,2045
New South Wales,Ashfield,2046
New South Wales,Ashfield,2049
New South Wales,Ashfield,2130
New South Wales,Ashfield,2131
New South Wales,Ashfield,2132
New South Wales,Ashfield,2133
New South Wales,Ashfield,2193
New South Wales,Ashfield,2203
New South Wales,Auburn,2127
New South Wales,Auburn,2128
New South Wales,Auburn,2135
New South Wales,Auburn,2138
New South Wales,Auburn,2140
New South Wales,Auburn,2141
New South Wales,Auburn,2142
New South Wales,Auburn,2143
New South Wales,Auburn,2144
New South Wales,Auburn,2162
New South Wales,Auburn,2190
New South Wales,Ballina,2471
New South Wales,Ballina,2472
New South Wales,Ballina,2477
New South Wales,Ballina,2478
New South Wales,Ballina,2479
New South Wales,Ballina,2480
New South Wales,Ballina,2481
New South Wales,Balranald,2648
New South Wales,Balranald,2711
New South Wales,Balranald,2715
New South Wales,Balranald,2736
New South Wales,Balranald,2737
New South Wales,Balranald,2879
New South Wales,Balranald,3501
New South Wales,Balranald,3549
New South Wales,Balranald,3597
New South Wales,Bankstown,2136
New South Wales,Bankstown,2141
New South Wales,Bankstown,2143
New South Wales,Bankstown,2144
New South Wales,Bankstown,2161
New South Wales,Bankstown,2162
New South Wales,Bankstown,2163
New South Wales,Bankstown,2165
New South Wales,Bankstown,2166
New South Wales,Bankstown,2170
New South Wales,Bankstown,2172
New South Wales,Bankstown,2190
New South Wales,Bankstown,2195
New South Wales,Bankstown,2196
New South Wales,Bankstown,2197
New South Wales,Bankstown,2198
New South Wales,Bankstown,2199
New South Wales,Bankstown,2200
New South Wales,Bankstown,2210
New South Wales,Bankstown,2211
New South Wales,Bankstown,2212
New South Wales,Bankstown,2213
New South Wales,Bankstown,2214
New South Wales,Bankstown,2234
New South Wales,Bathurst Regional,2583
New South Wales,Bathurst Regional,2787
New South Wales,Bathurst Regional,2795
New South Wales,Bathurst Regional,2799
New South Wales,Bathurst Regional,2800
New South Wales,Bathurst Regional,2808
New South Wales,Bathurst Regional,2846
New South Wales,Bathurst Regional,2847
New South Wales,Bathurst Regional,2850
New South Wales,Bega Valley,2545
New South Wales,Bega Valley,2546
New South Wales,Bega Valley,2548
New South Wales,Bega Valley,2549
New South Wales,Bega Valley,2550
New South Wales,Bega Valley,2551
New South Wales,Bega Valley,2630
New South Wales,Bega Valley,2631
New South Wales,Bega Valley,2632
New South Wales,Bega Valley,3889
New South Wales,Bega Valley,3891
New South Wales,Bellingen,2350
New South Wales,Bellingen,2441
New South Wales,Bellingen,2448
New South Wales,Bellingen,2449
New South Wales,Bellingen,2450
New South Wales,Bellingen,2453
New South Wales,Bellingen,2454
New South Wales,Bellingen,2455
New South Wales,Berrigan,2646
New South Wales,Berrigan,2710
New South Wales,Berrigan,2712
New South Wales,Berrigan,2713
New South Wales,Berrigan,2714
New South Wales,Berrigan,3641
New South Wales,Berrigan,3644
New South Wales,Berrigan,3730
New South Wales,Blacktown,2145
New South Wales,Blacktown,2146
New South Wales,Blacktown,2147
New South Wales,Blacktown,2148
New South Wales,Blacktown,2153
New South Wales,Blacktown,2155
New South Wales,Blacktown,2164
New South Wales,Blacktown,2175
New South Wales,Blacktown,2178
New South Wales,Blacktown,2747
New South Wales,Blacktown,2756
New South Wales,Blacktown,2759
New South Wales,Blacktown,2760
New South Wales,Blacktown,2761
New South Wales,Blacktown,2762
New South Wales,Blacktown,2763
New South Wales,Blacktown,2765
New South Wales,Blacktown,2766
New South Wales,Blacktown,2767
New South Wales,Blacktown,2768
New South Wales,Blacktown,2769
New South Wales,Blacktown,2770
New South Wales,Bland,2594
New South Wales,Bland,2665
New South Wales,Bland,2666
New South Wales,Bland,2668
New South Wales,Bland,2669
New South Wales,Bland,2671
New South Wales,Bland,2672
New South Wales,Bland,2675
New South Wales,Bland,2721
New South Wales,Bland,2810
New South Wales,Bland,2871
New South Wales,Bland,2877
New South Wales,Blayney,2791
New South Wales,Blayney,2792
New South Wales,Blayney,2793
New South Wales,Blayney,2795
New South Wales,Blayney,2797
New South Wales,Blayney,2798
New South Wales,Blayney,2799
New South Wales,Blayney,2800
New South Wales,Blayney,2804
New South Wales,Blayney,2808
New South Wales,Blue Mountains,2745
New South Wales,Blue Mountains,2749
New South Wales,Blue Mountains,2750
New South Wales,Blue Mountains,2753
New South Wales,Blue Mountains,2756
New South Wales,Blue Mountains,2758
New South Wales,Blue Mountains,2773
New South Wales,Blue Mountains,2774
New South Wales,Blue Mountains,2776
New South Wales,Blue Mountains,2777
New South Wales,Blue Mountains,2778
New South Wales,Blue Mountains,2779
New South Wales,Blue Mountains,2780
New South Wales,Blue Mountains,2782
New South Wales,Blue Mountains,2783
New South Wales,Blue Mountains,2784
New South Wales,Blue Mountains,2785
New South Wales,Blue Mountains,2786
New South Wales,Blue Mountains,2787
New South Wales,Blue Mountains,2790
New South Wales,Blue Mountains,2849
New South Wales,Bogan,2824
New South Wales,Bogan,2825
New South Wales,Bogan,2831
New South Wales,Bogan,2835
New South Wales,Bogan,2839
New South Wales,Bogan,2840
New South Wales,Bogan,2873
New South Wales,Bogan,2877
New South Wales,Bombala,2545
New South Wales,Bombala,2550
